Time	Node	AppId	SeqNo	Type	DelayS	DelayUS	RetxCount	HopCount
1.43288	leaf-4	0	14	FullDelay	0.00288	2880	1	2
1.50288	leaf-1	0	14	LastDelay	0.00288	2880	1	2
1.50288	leaf-1	0	14	FullDelay	0.00288	2880	1	2
1.51576	leaf-2	0	15	LastDelay	0.00576	5760	1	2
1.51576	leaf-2	0	15	FullDelay	0.00576	5760	1	2
1.52576	leaf-3	0	15	LastDelay	0.00576	5760	1	2
1.52576	leaf-3	0	15	FullDelay	0.00576	5760	1	2
1.53288	leaf-4	0	15	LastDelay	0.00288	2880	1	2
1.53288	leaf-4	0	15	FullDelay	0.00288	2880	1	2
1.60288	leaf-1	0	15	LastDelay	0.00288	2880	1	2
1.60288	leaf-1	0	15	FullDelay	0.00288	2880	1	2
1.61576	leaf-2	0	16	LastDelay	0.00576	5760	1	2
1.61576	leaf-2	0	16	FullDelay	0.00576	5760	1	2
1.62576	leaf-3	0	16	LastDelay	0.00576	5760	1	2
1.62576	leaf-3	0	16	FullDelay	0.00576	5760	1	2
1.63288	leaf-4	0	16	LastDelay	0.00288	2880	1	2
1.63288	leaf-4	0	16	FullDelay	0.00288	2880	1	2
1.70288	leaf-1	0	16	LastDelay	0.00288	2880	1	2
1.70288	leaf-1	0	16	FullDelay	0.00288	2880	1	2
1.71576	leaf-2	0	17	LastDelay	0.00576	5760	1	2
1.71576	leaf-2	0	17	FullDelay	0.00576	5760	1	2
1.72576	leaf-3	0	17	LastDelay	0.00576	5760	1	2
1.72576	leaf-3	0	17	FullDelay	0.00576	5760	1	2
1.73288	leaf-4	0	17	LastDelay	0.00288	2880	1	2
1.73288	leaf-4	0	17	FullDelay	0.00288	2880	1	2
1.80288	leaf-1	0	17	LastDelay	0.00288	2880	1	2
1.80288	leaf-1	0	17	FullDelay	0.00288	2880	1	2
1.81576	leaf-2	0	18	LastDelay	0.00576	5760	1	2
1.81576	leaf-2	0	18	FullDelay	0.00576	5760	1	2
1.82576	leaf-3	0	18	LastDelay	0.00576	5760	1	2
1.82576	leaf-3	0	18	FullDelay	0.00576	5760	1	2
1.83288	leaf-4	0	18	LastDelay	0.00288	2880	1	2
1.83288	leaf-4	0	18	FullDelay	0.00288	2880	1	2
1.90288	leaf-1	0	18	LastDelay	0.00288	2880	1	2
1.90288	leaf-1	0	18	FullDelay	0.00288	2880	1	2
1.91576	leaf-2	0	19	LastDelay	0.00576	5760	1	2
1.91576	leaf-2	0	19	FullDelay	0.00576	5760	1	2
1.92576	leaf-3	0	19	LastDelay	0.00576	5760	1	2
1.92576	leaf-3	0	19	FullDelay	0.00576	5760	1	2
1.93288	leaf-4	0	19	LastDelay	0.00288	2880	1	2
1.93288	leaf-4	0	19	FullDelay	0.00288	2880	1	2
2.00288	leaf-1	0	19	LastDelay	0.00288	2880	1	2
2.00288	leaf-1	0	19	FullDelay	0.00288	2880	1	2
2.01576	leaf-2	0	20	LastDelay	0.00576	5760	1	2
2.01576	leaf-2	0	20	FullDelay	0.00576	5760	1	2
2.02576	leaf-3	0	20	LastDelay	0.00576	5760	1	2
2.02576	leaf-3	0	20	FullDelay	0.00576	5760	1	2
2.03288	leaf-4	0	20	LastDelay	0.00288	2880	1	2
2.03288	leaf-4	0	20	FullDelay	0.00288	2880	1	2
2.10288	leaf-1	0	20	LastDelay	0.00288	2880	1	2
2.10288	leaf-1	0	20	FullDelay	0.00288	2880	1	2
2.11576	leaf-2	0	21	LastDelay	0.00576	5760	1	2
2.11576	leaf-2	0	21	FullDelay	0.00576	5760	1	2
2.12576	leaf-3	0	21	LastDelay	0.00576	5760	1	2
2.12576	leaf-3	0	21	FullDelay	0.00576	5760	1	2
2.13288	leaf-4	0	21	LastDelay	0.00288	2880	1	2
2.13288	leaf-4	0	21	FullDelay	0.00288	2880	1	2
2.20288	leaf-1	0	21	LastDelay	0.00288	2880	1	2
2.20288	leaf-1	0	21	FullDelay	0.00288	2880	1	2
2.21576	leaf-2	0	22	LastDelay	0.00576	5760	1	2
2.21576	leaf-2	0	22	FullDelay	0.00576	5760	1	2
2.22576	leaf-3	0	22	LastDelay	0.00576	5760	1	2
2.22576	leaf-3	0	22	FullDelay	0.00576	5760	1	2
2.23288	leaf-4	0	22	LastDelay	0.00288	2880	1	2
2.23288	leaf-4	0	22	FullDelay	0.00288	2880	1	2
2.30288	leaf-1	0	22	LastDelay	0.00288	2880	1	2
2.30288	leaf-1	0	22	FullDelay	0.00288	2880	1	2
2.31576	leaf-2	0	23	LastDelay	0.00576	5760	1	2
2.31576	leaf-2	0	23	FullDelay	0.00576	5760	1	2
2.32576	leaf-3	0	23	LastDelay	0.00576	5760	1	2
2.32576	leaf-3	0	23	FullDelay	0.00576	5760	1	2
2.33288	leaf-4	0	23	LastDelay	0.00288	2880	1	2
2.33288	leaf-4	0	23	FullDelay	0.00288	2880	1	2
2.40288	leaf-1	0	23	LastDelay	0.00288	2880	1	2
2.40288	leaf-1	0	23	FullDelay	0.00288	2880	1	2
2.41576	leaf-2	0	24	LastDelay	0.00576	5760	1	2
2.41576	leaf-2	0	24	FullDelay	0.00576	5760	1	2
2.42576	leaf-3	0	24	LastDelay	0.00576	5760	1	2
2.42576	leaf-3	0	24	FullDelay	0.00576	5760	1	2
2.43288	leaf-4	0	24	LastDelay	0.00288	2880	1	2
2.43288	leaf-4	0	24	FullDelay	0.00288	2880	1	2
2.50288	leaf-1	0	24	LastDelay	0.00288	2880	1	2
2.50288	leaf-1	0	24	FullDelay	0.00288	2880	1	2
2.51576	leaf-2	0	25	LastDelay	0.00576	5760	1	2
2.51576	leaf-2	0	25	FullDelay	0.00576	5760	1	2
2.52576	leaf-3	0	25	LastDelay	0.00576	5760	1	2
2.52576	leaf-3	0	25	FullDelay	0.00576	5760	1	2
2.53288	leaf-4	0	25	LastDelay	0.00288	2880	1	2
2.53288	leaf-4	0	25	FullDelay	0.00288	2880	1	2
2.60288	leaf-1	0	25	LastDelay	0.00288	2880	1	2
2.60288	leaf-1	0	25	FullDelay	0.00288	2880	1	2
2.61576	leaf-2	0	26	LastDelay	0.00576	5760	1	2
2.61576	leaf-2	0	26	FullDelay	0.00576	5760	1	2
2.62576	leaf-3	0	26	LastDelay	0.00576	5760	1	2
2.62576	leaf-3	0	26	FullDelay	0.00576	5760	1	2
2.63288	leaf-4	0	26	LastDelay	0.00288	2880	1	2
2.63288	leaf-4	0	26	FullDelay	0.00288	2880	1	2
2.70288	leaf-1	0	26	LastDelay	0.00288	2880	1	2
2.70288	leaf-1	0	26	FullDelay	0.00288	2880	1	2
2.71576	leaf-2	0	27	LastDelay	0.00576	5760	1	2
2.71576	leaf-2	0	27	FullDelay	0.00576	5760	1	2
2.72576	leaf-3	0	27	LastDelay	0.00576	5760	1	2
2.72576	leaf-3	0	27	FullDelay	0.00576	5760	1	2
2.73288	leaf-4	0	27	LastDelay	0.00288	2880	1	2
2.73288	leaf-4	0	27	FullDelay	0.00288	2880	1	2
2.80288	leaf-1	0	27	LastDelay	0.00288	2880	1	2
2.80288	leaf-1	0	27	FullDelay	0.00288	2880	1	2
2.81576	leaf-2	0	28	LastDelay	0.00576	5760	1	2
2.81576	leaf-2	0	28	FullDelay	0.00576	5760	1	2
2.82576	leaf-3	0	28	LastDelay	0.00576	5760	1	2
2.82576	leaf-3	0	28	FullDelay	0.00576	5760	1	2
2.83288	leaf-4	0	28	LastDelay	0.00288	2880	1	2
2.83288	leaf-4	0	28	FullDelay	0.00288	2880	1	2
2.90288	leaf-1	0	28	LastDelay	0.00288	2880	1	2
2.90288	leaf-1	0	28	FullDelay	0.00288	2880	1	2
2.91576	leaf-2	0	29	LastDelay	0.00576	5760	1	2
2.91576	leaf-2	0	29	FullDelay	0.00576	5760	1	2
2.92576	leaf-3	0	29	LastDelay	0.00576	5760	1	2
2.92576	leaf-3	0	29	FullDelay	0.00576	5760	1	2
2.93288	leaf-4	0	29	LastDelay	0.00288	2880	1	2
2.93288	leaf-4	0	29	FullDelay	0.00288	2880	1	2
3.00288	leaf-1	0	29	LastDelay	0.00288	2880	1	2
3.00288	leaf-1	0	29	FullDelay	0.00288	2880	1	2
